Plot ID,Plot ID,Plot ID,distance,Shannon,Simpson
C-1.1,Craigmiller,1,0,n/a,n/a
C-1.2,Craigmiller,1,1,n/a,n/a
C-1.3,Craigmiller,1,7,-2.936120407,3.266666667
C-1.4,Craigmiller,1,14,-3.130890214,4.05
C-2.1,Craigmiller,2,0,-2.559708452,3.333333333
C-2.2,Craigmiller,2,1,-2.756777704,3.488372093
C-2.3,Craigmiller,2,7,n/a,n/a
C-2.4,Craigmiller,2,14,-3.801651152,5.084656085
C-3.1,Craigmiller,3,0,-2.462471382,3.225806452
C-3.2,Craigmiller,3,1,-3.377398626,4.413793103
C-3.3,Craigmiller,3,7,-3.034928649,3.834782609
C-3.4,Craigmiller,3,14,-3.10790433,3.990950226
C-4.1,Craigmiller,4,0,-2.452152101,2.655737705
C-4.2,Craigmiller,4,1,-2.828350928,3
C-4.3,Craigmiller,4,7,-1.911399782,2.333333333
C-4.4,Craigmiller,4,14,-3.088763962,4.446153846
C-5.1,Craigmiller,5,0,-2.182606001,2.578947368
C-5.2,Craigmiller,5,1,-2.109840336,2.777777778
C-5.3,Craigmiller,5,7,-2.468535732,2.571428571
C-5.4,Craigmiller,5,14,-3.038765329,3.755555556
C-6.1,Craigmiller,6,0,-3.063556158,4.260869565
C-6.2,Craigmiller,6,1,-3.237529145,4.653846154
C-6.3,Craigmiller,6,7,-2.854122087,3.52173913
C-6.4,Craigmiller,6,14,-1.900541078,2.272727273
C-7.1,Craigmiller,7,0,-3.778318328,6.230769231
C-7.2,Craigmiller,7,1,-3.162185027,4.271111111
C-7.3,Craigmiller,7,7,-3.297694143,4.666666667
C-7.4,Craigmiller,7,14,-2.704418798,3.272727273