Order,C.1.4,C.1.3,C.2.1,C.2.4,C.2.2,C.2.3,C.3.1,C.3.2,C.3.3,C.3.4,C.4.1,C.4.2,B.1.1,B.1.2,B.1.3,B.1.4,B.5.1,B.5.2,B.5.3,B.5.4,B.2.3,B.4.3,B.3.3,B.3.4
Larvae,1,,,1,,,,,1,,,,1,,,,,,,,,,,
Diptera,7,7,2,9,12,2,7,3,6,3,2,2,7,,2,,7,6,4,5,8,9,9,6
Aranaeae,3,,4,3,4,3,5,1,2,,,,,,2,,3,4,,,5,,1,
Oniscidea,1,,,1,,,,,,,,,1,,,,,,,,,,,
Acari,4,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,3,1,0,0,4,2,2,0
Hemiptera,1,1,,1,,1,,1,,,,1,,,,1,,,1,2,,1,,1
Coleoptera,1,1,1,2,4,5,7,6,7,6,10,8,2,14,4,1,9,4,6,5,4,5,2,0
Hymenoptera,,1,,1,,,,,,4,,,,,17,7,,,,,,,1,
Dermaptera,,2,3,9,9,1,1,3,3,11,4,1,2,2,,3,9,3,7,2,2,3,1,1
Haplotaxida,,,,2,,,,,,,,,,,,,,,,,,,,
Pulmonata,,,,1,,,,1,,,,,,1,,,1,2,1,1,,1,1,
Siphonaptera,,,,1,,,,,,2,,,,,,,,,,,,,,
Symphyla,,,,2,,,,,1,,,,,,,,,,,,,,,
Oligichaeta,,,,,1,,,1,,,,1,,,,,,,,,,,,
Lepidoptera,,,,,,1,,,1,,,,,,,,,,,,,,,
Opiliones,,,,,,,,,,16,1,2,1,,,,1,,1,1,,,,
Centipede,,,,,,,,,,,,,,1,,,1,,,,,,,1
Orthoptera,,,,,,,,,,,,,,,,,1,,,,,,,