Order,C.1.3,C.1.4,C.2.1,C.2.2,C.2.4,C.3.1,C.3.2,C.3.3,C.3.4,C.4.1,C.4.2,C.4.3,C.4.4,C.5.1,C.5.2,C.5.3,C.5.4,C.6.1,C.6.2,C.6.3,C.6.4,C.7.1,C.7.2,C.7.3,C.7.4,,,,,,,,,,,,,,,,
Amphipoda (sand hoppers and scuds),,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Aranaeae (spiders),,3,4,4,3,5,1,2,,,,,2,,,1,1,2,4,,,1,3,1,,,,,,,,,,,,,,,,,
Chilopoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleoptera (beetles),1,2,1,4,3,7,6,8,6,10,8,1,2,1,1,1,1,3,5,1,,2,1,4,1,,,,,,,,,,,,,,,,
Collembola (springtails),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermaptera (earwigs),2,,3,9,9,1,3,3,11,4,1,,4,,,,1,,1,1,,1,3,1,1,,,,,,,,,,,,,,,,
Diptera (two-winged flies),7,7,2,12,9,7,3,6,3,2,2,2,5,1,,2,4,2,6,2,1,,5,4,5,,,,,,,,,,,,,,,,
Glomerida,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haplotaxida,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiptera,1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hymenoptera (sawflies, bees, ants and wasps)",1,,,,1,,,,4,,,,,5,,,1,,5,4,1,,9,2,4,,,,,,,,,,,,,,,,
Ixodida,2,4,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithobiomorpha,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Nematoda,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Oligichaeta,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opiliones (harvestmen),,,,,,,,,16,1,2,4,4,7,2,7,5,5,1,1,3,2,10,2,,,,,,,,,,,,,,,,,
Prosobranchia,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
Pulmonata,,,,,3,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Strepsiptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphyla,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,